id,date,tweet
1324138260495540227,2020-11-04 23:55:37+00:00,Senate Minority Leader Franklin Drilon declined to identify the other senators but said he himself wanted the entire NTF-Elcac budget realigned. https://t.co/D0a0lymGPg
1324136337516060673,2020-11-04 23:47:58+00:00,Former Bayan Muna partylist Rep. Teddy Casiño tells ANC that he is eyeing to file libel complaints against those linking him to communist rebel groups. | @ConsINQ
1324135998767456256,2020-11-04 23:46:38+00:00,The NUSP blasted Education Secretary Leonor Briones for her “insensitivity” by advising students and teachers affected by Typhoon #RollyPH to just hang up wet modules and iron them out to dry. | @GabrielLaluINQ https://t.co/suF8NTJwhO
1324135574295498752,2020-11-04 23:44:56+00:00,"TCWS No. 2 was raised over Batanes and the eastern part of the Babuyan Islands as Severe Tropical Storm #SionyPH moved west-southwest toward the Luzon Strait on Thursday morning, state meteorologists said. | @ConsINQ https://t.co/OAktDtgkTH"
1324135204982644736,2020-11-04 23:43:28+00:00,"EYES ONLY FOR YOU. Pasay City government employee Maria Victoria Bagcat holds the boobook owl that crashed on her car while she was driving to work. 

The owl, rarely seen although it is native to the Philippines, is now in the care of the DENR. 📷 Pasay Information Office https://t.co/ImyxFrVT7N"
1324134460141481985,2020-11-04 23:40:31+00:00,"While the Constitution authorizes the PET to void the results of presidential and vice presidential races, the tribunal does not have the power to declare failure of elections as that power is bestowed exclusively on the Comelec. https://t.co/YIRKsu6W2a"
1324134447407636480,2020-11-04 23:40:28+00:00,ACT CIS Rep. Eric Yap is seeking an investigation on the alleged failure of PDEA and the BOC to detect the illegal drugs found in a warehouse in Malabon City back in 2019. | @NAMercadoINQ https://t.co/oYPxlEvfLD
1324133206128500740,2020-11-04 23:35:32+00:00,"A chocolate boobook, a native owl listed as a “vulnerable” and “near threatened” species, was found in Pasay after it fell on the roof of a car being driven by a city hall employee. | @dexcabalzaINQ https://t.co/kID1CwJAhH"
1324131972894072833,2020-11-04 23:30:38+00:00,"Trump’s campaign said it was demanding a recount in Wisconsin, a crucial state where early returns show Democrat Joe Biden with a slender lead. https://t.co/RaKUNKp4qK"
1324131741666209792,2020-11-04 23:29:43+00:00,"The magic number of electoral votes is 270. If democrat Joe Biden were to win in Nevada, he would in theory have the necessary 270. https://t.co/NQt0P2BvaP https://t.co/aYxYvoMWJ0"
1324130732114169861,2020-11-04 23:25:42+00:00,The Bureau of Immigration asked airlines not to allow travelers bound for the Philippines to board if they do not have the appropriate visas to enter the country. https://t.co/jpIEkAIgo3
